lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,CH4_uM,CO2_uM,year,doy
WL,DeepHole,6/20/16,6/20/16 8:40,point,8,8,DIC,18.89649282,459.9527073,2016,172
WL,DeepHole,6/28/16,6/28/16 8:30,point,8,8,DIC,45.32115232,819.7479518,2016,180
WL,DeepHole,6/28/16,6/28/16 8:30,point,8,8,DIC,42.02908299,791.0562311,2016,180
WL,DeepHole,7/12/16,7/12/16 8:55,point,8,8,DIC,75.83569011,835.0812684,2016,194
WL,DeepHole,7/12/16,7/12/16 8:55,point,8,8,DIC,57.6825085,692.8240946,2016,194
WL,DeepHole,7/19/16,7/19/16 9:00,point,8,8,DIC,51.00311642,641.0585914,2016,201
WL,DeepHole,7/19/16,7/19/16 9:00,point,8,8,DIC,56.14812782,679.6210144,2016,201
WL,DeepHole,7/26/16,7/26/16 8:45,point,8,8,DIC,39.46766713,413.379097,2016,208
WL,DeepHole,7/26/16,7/26/16 8:45,point,8,8,DIC,36.74992421,429.30367,2016,208
WL,DeepHole,8/2/16,8/2/16 8:50,point,8,8,DIC,39.70345434,502.1928417,2016,215
WL,DeepHole,8/2/16,8/2/16 8:50,point,8,8,DIC,36.32583078,488.6634266,2016,215
WL,DeepHole,8/9/16,8/9/16 8:50,point,8,8,DIC,106.5749674,783.9053083,2016,222
WL,DeepHole,8/9/16,8/9/16 8:50,point,8,8,DIC,102.0230401,762.7329184,2016,222
WL,DeepHole,8/16/16,8/16/16 9:41,point,8,8,DIC,49.64098337,1079.771463,2016,229
WL,DeepHole,8/16/16,8/16/16 9:41,point,8,8,DIC,55.81239793,1133.784483,2016,229
WL,DeepHole,9/13/16,9/13/16 8:50,point,8,8,DIC,36.63308934,400.8946725,2016,257
WL,DeepHole,9/13/16,9/13/16 8:50,point,8,8,DIC,36.50219548,403.197649,2016,257
MO,DeepHole,5/15/18,5/15/18 10:30,point,4,4,DIC,1.847328965,0,2018,135
MO,DeepHole,5/15/18,5/15/18 10:30,point,4,4,DIC,1.768447494,0,2018,135
WL,DeepHole,5/15/18,5/15/18 10:30,point,3.5,3.5,DIC,23.88617596,0,2018,135
WL,DeepHole,5/15/18,5/15/18 10:30,point,3.5,3.5,DIC,22.21424963,0,2018,135
CR,DeepHole,5/21/18,5/21/18 10:30,point,3.5,3.5,DIC,0.942582176,13.40056093,2018,141
CR,DeepHole,5/21/18,5/21/18 10:30,point,3.5,3.5,DIC,0.941685883,0,2018,141
WL,DeepHole,5/22/18,5/22/18 8:50,point,3.5,3.5,DIC,17.15488252,0,2018,142
WL,DeepHole,5/22/18,5/22/18 8:50,point,3.5,3.5,DIC,18.04085559,0,2018,142
